cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_hurto
05,ANTIOQUIA,05002,ABEJORRAL,2021,9,1
05,ANTIOQUIA,05002,ABEJORRAL,2021,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2022,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2022,2,3
05,ANTIOQUIA,05002,ABEJORRAL,2022,3,2
05,ANTIOQUIA,05002,ABEJORRAL,2022,4,4
05,ANTIOQUIA,05002,ABEJORRAL,2022,5,1
05,ANTIOQUIA,05002,ABEJORRAL,2022,7,2
05,ANTIOQUIA,05002,ABEJORRAL,2022,8,2
05,ANTIOQUIA,05002,ABEJORRAL,2022,10,2
05,ANTIOQUIA,05002,ABEJORRAL,2022,11,2
05,ANTIOQUIA,05002,ABEJORRAL,2022,12,2
05,ANTIOQUIA,05002,ABEJORRAL,2023,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2023,2,2
05,ANTIOQUIA,05002,ABEJORRAL,2023,4,3
05,ANTIOQUIA,05002,ABEJORRAL,2023,6,3
05,ANTIOQUIA,05002,ABEJORRAL,2023,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2023,8,1
05,ANTIOQUIA,05002,ABEJORRAL,2023,10,3
05,ANTIOQUIA,05002,ABEJORRAL,2023,11,2
05,ANTIOQUIA,05002,ABEJORRAL,2023,12,2
05,ANTIOQUIA,05002,ABEJORRAL,2024,1,4
05,ANTIOQUIA,05002,ABEJORRAL,2024,3,6
05,ANTIOQUIA,05002,ABEJORRAL,2024,5,1
05,ANTIOQUIA,05002,ABEJORRAL,2024,6,2
05,ANTIOQUIA,05002,ABEJORRAL,2024,8,1
05,ANTIOQUIA,05002,ABEJORRAL,2024,9,1
05,ANTIOQUIA,05002,ABEJORRAL,2024,10,2
05,ANTIOQUIA,05002,ABEJORRAL,2025,1,2
05,ANTIOQUIA,05002,ABEJORRAL,2025,2,2
05,ANTIOQUIA,05002,ABEJORRAL,2025,3,2
05,ANTIOQUIA,05002,ABEJORRAL,2025,4,3
05,ANTIOQUIA,05002,ABEJORRAL,2025,5,4
05,ANTIOQUIA,05002,ABEJORRAL,2025,6,1
05,ANTIOQUIA,05002,ABEJORRAL,2025,8,2
05,ANTIOQUIA,05002,ABEJORRAL,2025,9,1
05,ANTIOQUIA,05002,ABEJORRAL,2025,10,1
05,ANTIOQUIA,05004,ABRIAQUI,2019,12,2
05,ANTIOQUIA,05004,ABRIAQUI,2020,1,9
05,ANTIOQUIA,05004,ABRIAQUI,2020,11,1
