cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_terrorismo
05,ANTIOQUIA,05113,BURITICA,2003,10,1
05,ANTIOQUIA,05113,BURITICA,2004,12,1
05,ANTIOQUIA,05113,BURITICA,2013,11,2
05,ANTIOQUIA,05113,BURITICA,2014,9,1
05,ANTIOQUIA,05113,BURITICA,2014,10,1
05,ANTIOQUIA,05113,BURITICA,2016,3,2
05,ANTIOQUIA,05113,BURITICA,2016,12,2
05,ANTIOQUIA,05113,BURITICA,2018,6,1
05,ANTIOQUIA,05113,BURITICA,2020,12,1
05,ANTIOQUIA,05113,BURITICA,2021,2,1
05,ANTIOQUIA,05113,BURITICA,2021,4,1
05,ANTIOQUIA,05113,BURITICA,2022,5,3
05,ANTIOQUIA,05113,BURITICA,2022,7,3
05,ANTIOQUIA,05113,BURITICA,2023,5,2
05,ANTIOQUIA,05113,BURITICA,2023,6,1
05,ANTIOQUIA,05113,BURITICA,2023,10,1
05,ANTIOQUIA,05113,BURITICA,2024,5,4
05,ANTIOQUIA,05113,BURITICA,2025,1,1
05,ANTIOQUIA,05113,BURITICA,2025,4,2
05,ANTIOQUIA,05113,BURITICA,2025,6,2
05,ANTIOQUIA,05113,BURITICA,2025,7,6
05,ANTIOQUIA,05113,BURITICA,2025,10,2
05,ANTIOQUIA,05120,CACERES,2009,4,1
05,ANTIOQUIA,05120,CACERES,2009,7,1
05,ANTIOQUIA,05120,CACERES,2009,8,1
05,ANTIOQUIA,05120,CACERES,2011,6,1
05,ANTIOQUIA,05120,CACERES,2012,1,1
05,ANTIOQUIA,05120,CACERES,2012,4,1
05,ANTIOQUIA,05120,CACERES,2013,1,1
05,ANTIOQUIA,05120,CACERES,2013,7,3
05,ANTIOQUIA,05120,CACERES,2013,8,2
05,ANTIOQUIA,05120,CACERES,2014,1,1
05,ANTIOQUIA,05120,CACERES,2014,2,1
05,ANTIOQUIA,05120,CACERES,2014,10,1
05,ANTIOQUIA,05120,CACERES,2015,2,1
05,ANTIOQUIA,05120,CACERES,2015,3,1
05,ANTIOQUIA,05120,CACERES,2016,2,1
05,ANTIOQUIA,05120,CACERES,2016,3,3
05,ANTIOQUIA,05120,CACERES,2016,4,1
05,ANTIOQUIA,05120,CACERES,2017,5,3
05,ANTIOQUIA,05120,CACERES,2017,6,1
05,ANTIOQUIA,05120,CACERES,2018,1,1
05,ANTIOQUIA,05120,CACERES,2018,4,4
05,ANTIOQUIA,05120,CACERES,2018,6,3
05,ANTIOQUIA,05120,CACERES,2018,7,1
05,ANTIOQUIA,05120,CACERES,2018,8,3
05,ANTIOQUIA,05120,CACERES,2018,9,1
05,ANTIOQUIA,05120,CACERES,2018,10,1
05,ANTIOQUIA,05120,CACERES,2019,2,1
05,ANTIOQUIA,05120,CACERES,2019,4,1
05,ANTIOQUIA,05120,CACERES,2019,12,3
05,ANTIOQUIA,05120,CACERES,2020,5,1
05,ANTIOQUIA,05120,CACERES,2020,12,1
05,ANTIOQUIA,05120,CACERES,2021,2,1
05,ANTIOQUIA,05120,CACERES,2021,3,1
05,ANTIOQUIA,05120,CACERES,2022,1,1
05,ANTIOQUIA,05120,CACERES,2022,5,3
05,ANTIOQUIA,05120,CACERES,2022,7,1
05,ANTIOQUIA,05120,CACERES,2022,8,1
05,ANTIOQUIA,05120,CACERES,2022,9,1
05,ANTIOQUIA,05120,CACERES,2023,1,1
05,ANTIOQUIA,05120,CACERES,2023,3,2
05,ANTIOQUIA,05120,CACERES,2023,5,1
05,ANTIOQUIA,05120,CACERES,2023,6,1
05,ANTIOQUIA,05120,CACERES,2023,8,1
05,ANTIOQUIA,05120,CACERES,2023,11,1
05,ANTIOQUIA,05120,CACERES,2024,2,2
05,ANTIOQUIA,05120,CACERES,2024,5,2
05,ANTIOQUIA,05125,CAICEDO,2003,7,1
05,ANTIOQUIA,05125,CAICEDO,2003,11,1
05,ANTIOQUIA,05125,CAICEDO,2004,4,1
05,ANTIOQUIA,05125,CAICEDO,2006,2,1
05,ANTIOQUIA,05125,CAICEDO,2007,6,1
05,ANTIOQUIA,05125,CAICEDO,2025,6,2
05,ANTIOQUIA,05129,CALDAS,2016,7,1
05,ANTIOQUIA,05134,CAMPAMENTO,2003,2,1
05,ANTIOQUIA,05134,CAMPAMENTO,2003,4,1
05,ANTIOQUIA,05134,CAMPAMENTO,2003,5,1
05,ANTIOQUIA,05134,CAMPAMENTO,2003,8,1
05,ANTIOQUIA,05134,CAMPAMENTO,2005,6,1
