cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,cobertura_2g,cobertura_3g,cobertura_4g,cobertura_lte,cobertura_5g
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,2023,1,1,1,0,0
05,ANTIOQUIA,05150,CAROLINA,2015,1,1,0,0,0
05,ANTIOQUIA,05150,CAROLINA,2016,1,1,0,1,0
05,ANTIOQUIA,05150,CAROLINA,2017,1,1,0,1,0
05,ANTIOQUIA,05150,CAROLINA,2018,1,1,0,1,0
05,ANTIOQUIA,05150,CAROLINA,2019,1,1,0,1,0
05,ANTIOQUIA,05150,CAROLINA,2020,1,1,0,1,0
05,ANTIOQUIA,05150,CAROLINA,2021,1,1,1,1,0
05,ANTIOQUIA,05150,CAROLINA,2022,1,1,1,0,0
05,ANTIOQUIA,05150,CAROLINA,2023,1,1,1,0,0
05,ANTIOQUIA,05154,CAUCASIA,2015,1,1,0,1,0
05,ANTIOQUIA,05154,CAUCASIA,2016,1,1,0,1,0
05,ANTIOQUIA,05154,CAUCASIA,2017,1,1,0,1,0
05,ANTIOQUIA,05154,CAUCASIA,2018,1,1,0,1,0
05,ANTIOQUIA,05154,CAUCASIA,2019,1,1,0,1,0
05,ANTIOQUIA,05154,CAUCASIA,2020,1,1,0,1,0
05,ANTIOQUIA,05154,CAUCASIA,2021,1,1,1,1,0
05,ANTIOQUIA,05154,CAUCASIA,2022,1,1,1,0,0
05,ANTIOQUIA,05154,CAUCASIA,2023,1,1,1,0,0
05,ANTIOQUIA,05172,CHIGORODÓ,2015,1,1,0,0,0
05,ANTIOQUIA,05172,CHIGORODÓ,2016,1,1,0,1,0
05,ANTIOQUIA,05172,CHIGORODÓ,2017,1,1,0,1,0
05,ANTIOQUIA,05172,CHIGORODÓ,2018,1,1,0,1,0
05,ANTIOQUIA,05172,CHIGORODÓ,2019,1,1,0,1,0
05,ANTIOQUIA,05172,CHIGORODÓ,2020,1,1,0,1,0
05,ANTIOQUIA,05172,CHIGORODÓ,2021,1,1,1,1,0
05,ANTIOQUIA,05172,CHIGORODÓ,2022,1,1,1,0,0
05,ANTIOQUIA,05172,CHIGORODÓ,2023,1,1,1,0,0
05,ANTIOQUIA,05190,CISNEROS,2015,1,1,0,0,0
05,ANTIOQUIA,05190,CISNEROS,2016,1,1,0,0,0
05,ANTIOQUIA,05190,CISNEROS,2017,1,1,0,1,0
05,ANTIOQUIA,05190,CISNEROS,2018,1,1,0,1,0
05,ANTIOQUIA,05190,CISNEROS,2019,1,1,0,1,0
05,ANTIOQUIA,05190,CISNEROS,2020,1,1,0,1,0
05,ANTIOQUIA,05190,CISNEROS,2021,1,1,1,1,0
05,ANTIOQUIA,05190,CISNEROS,2022,1,1,1,0,0
05,ANTIOQUIA,05190,CISNEROS,2023,1,1,1,0,0
05,ANTIOQUIA,05197,COCORNÁ,2015,1,1,0,0,0
05,ANTIOQUIA,05197,COCORNÁ,2016,1,1,0,0,0
05,ANTIOQUIA,05197,COCORNÁ,2017,1,1,0,0,0
05,ANTIOQUIA,05197,COCORNÁ,2018,1,1,0,1,0
05,ANTIOQUIA,05197,COCORNÁ,2019,1,1,0,1,0
05,ANTIOQUIA,05197,COCORNÁ,2020,1,1,0,1,0
05,ANTIOQUIA,05197,COCORNÁ,2021,1,1,1,1,0
05,ANTIOQUIA,05197,COCORNÁ,2022,1,1,1,0,0
05,ANTIOQUIA,05197,COCORNÁ,2023,1,1,1,0,0
05,ANTIOQUIA,05206,CONCEPCIÓN,2015,1,1,0,0,0
05,ANTIOQUIA,05206,CONCEPCIÓN,2016,1,1,0,1,0
05,ANTIOQUIA,05206,CONCEPCIÓN,2017,1,1,0,1,0
05,ANTIOQUIA,05206,CONCEPCIÓN,2018,1,1,0,1,0
05,ANTIOQUIA,05206,CONCEPCIÓN,2019,1,1,0,1,0
05,ANTIOQUIA,05206,CONCEPCIÓN,2020,1,1,0,1,0
05,ANTIOQUIA,05206,CONCEPCIÓN,2021,1,1,1,1,0
05,ANTIOQUIA,05206,CONCEPCIÓN,2022,1,1,1,0,0
05,ANTIOQUIA,05206,CONCEPCIÓN,2023,1,1,1,0,0
05,ANTIOQUIA,05209,CONCORDIA,2015,1,1,0,0,0
05,ANTIOQUIA,05209,CONCORDIA,2016,1,1,0,0,0
05,ANTIOQUIA,05209,CONCORDIA,2017,1,1,0,0,0
05,ANTIOQUIA,05209,CONCORDIA,2018,1,1,0,1,0
05,ANTIOQUIA,05209,CONCORDIA,2019,1,1,0,1,0
05,ANTIOQUIA,05209,CONCORDIA,2020,1,1,0,1,0
05,ANTIOQUIA,05209,CONCORDIA,2021,1,1,1,1,0
05,ANTIOQUIA,05209,CONCORDIA,2022,1,1,1,0,0
05,ANTIOQUIA,05209,CONCORDIA,2023,1,1,1,0,0
05,ANTIOQUIA,05212,COPACABANA,2015,1,1,0,1,0
05,ANTIOQUIA,05212,COPACABANA,2016,1,1,0,1,0
05,ANTIOQUIA,05212,COPACABANA,2017,1,1,0,1,0
05,ANTIOQUIA,05212,COPACABANA,2018,1,1,0,1,0
05,ANTIOQUIA,05212,COPACABANA,2019,1,1,0,1,0
05,ANTIOQUIA,05212,COPACABANA,2020,1,1,0,1,0
05,ANTIOQUIA,05212,COPACABANA,2021,1,1,1,1,0
05,ANTIOQUIA,05212,COPACABANA,2022,1,1,1,0,0
05,ANTIOQUIA,05212,COPACABANA,2023,1,1,1,0,0
05,ANTIOQUIA,05234,DABEIBA,2015,1,1,0,0,0
05,ANTIOQUIA,05234,DABEIBA,2016,1,1,0,0,0
05,ANTIOQUIA,05234,DABEIBA,2017,1,1,0,0,0
05,ANTIOQUIA,05234,DABEIBA,2018,1,1,0,1,0
05,ANTIOQUIA,05234,DABEIBA,2019,1,1,0,1,0
05,ANTIOQUIA,05234,DABEIBA,2020,1,1,0,1,0
