cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_homicidio
05,ANTIOQUIA,05002,ABEJORRAL,2024,1,2
05,ANTIOQUIA,05002,ABEJORRAL,2024,2,1
05,ANTIOQUIA,05002,ABEJORRAL,2024,3,2
05,ANTIOQUIA,05002,ABEJORRAL,2024,4,2
05,ANTIOQUIA,05002,ABEJORRAL,2024,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2024,10,1
05,ANTIOQUIA,05002,ABEJORRAL,2024,12,1
05,ANTIOQUIA,05002,ABEJORRAL,2025,2,1
05,ANTIOQUIA,05002,ABEJORRAL,2025,5,1
05,ANTIOQUIA,05002,ABEJORRAL,2025,6,1
05,ANTIOQUIA,05002,ABEJORRAL,2025,8,1
05,ANTIOQUIA,05002,ABEJORRAL,2025,10,1
05,ANTIOQUIA,05002,ABEJORRAL,2025,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2026,1,6
05,ANTIOQUIA,05004,ABRIAQUI,2003,3,2
05,ANTIOQUIA,05004,ABRIAQUI,2003,6,4
05,ANTIOQUIA,05004,ABRIAQUI,2004,4,1
05,ANTIOQUIA,05004,ABRIAQUI,2006,4,1
05,ANTIOQUIA,05004,ABRIAQUI,2006,6,1
05,ANTIOQUIA,05004,ABRIAQUI,2017,3,1
05,ANTIOQUIA,05021,ALEJANDRIA,2003,1,1
05,ANTIOQUIA,05021,ALEJANDRIA,2003,8,2
05,ANTIOQUIA,05021,ALEJANDRIA,2004,4,2
05,ANTIOQUIA,05021,ALEJANDRIA,2004,7,1
05,ANTIOQUIA,05021,ALEJANDRIA,2004,12,2
05,ANTIOQUIA,05021,ALEJANDRIA,2005,2,1
05,ANTIOQUIA,05021,ALEJANDRIA,2005,3,1
05,ANTIOQUIA,05021,ALEJANDRIA,2005,9,1
05,ANTIOQUIA,05021,ALEJANDRIA,2006,3,1
05,ANTIOQUIA,05021,ALEJANDRIA,2006,6,1
05,ANTIOQUIA,05021,ALEJANDRIA,2006,8,1
05,ANTIOQUIA,05021,ALEJANDRIA,2007,1,1
05,ANTIOQUIA,05021,ALEJANDRIA,2007,6,1
05,ANTIOQUIA,05021,ALEJANDRIA,2013,5,1
05,ANTIOQUIA,05021,ALEJANDRIA,2015,5,1
05,ANTIOQUIA,05021,ALEJANDRIA,2016,6,1
05,ANTIOQUIA,05021,ALEJANDRIA,2017,7,1
05,ANTIOQUIA,05021,ALEJANDRIA,2017,8,1
05,ANTIOQUIA,05021,ALEJANDRIA,2020,2,1
05,ANTIOQUIA,05021,ALEJANDRIA,2023,1,1
05,ANTIOQUIA,05021,ALEJANDRIA,2023,8,1
05,ANTIOQUIA,05021,ALEJANDRIA,2024,2,1
05,ANTIOQUIA,05021,ALEJANDRIA,2025,11,1
05,ANTIOQUIA,05030,AMAGA,2003,1,2
05,ANTIOQUIA,05030,AMAGA,2003,2,3
05,ANTIOQUIA,05030,AMAGA,2003,3,2
05,ANTIOQUIA,05030,AMAGA,2003,4,1
05,ANTIOQUIA,05030,AMAGA,2003,5,5
05,ANTIOQUIA,05030,AMAGA,2003,6,3
05,ANTIOQUIA,05030,AMAGA,2003,7,1
05,ANTIOQUIA,05030,AMAGA,2003,8,1
05,ANTIOQUIA,05030,AMAGA,2003,9,2
05,ANTIOQUIA,05030,AMAGA,2003,10,2
05,ANTIOQUIA,05030,AMAGA,2003,11,2
05,ANTIOQUIA,05030,AMAGA,2003,12,3
05,ANTIOQUIA,05030,AMAGA,2004,4,3
05,ANTIOQUIA,05030,AMAGA,2004,5,4
05,ANTIOQUIA,05030,AMAGA,2004,6,1
05,ANTIOQUIA,05030,AMAGA,2004,9,2
05,ANTIOQUIA,05030,AMAGA,2004,10,1
05,ANTIOQUIA,05030,AMAGA,2004,11,1
05,ANTIOQUIA,05030,AMAGA,2004,12,1
05,ANTIOQUIA,05030,AMAGA,2005,7,3
05,ANTIOQUIA,05030,AMAGA,2005,8,2
05,ANTIOQUIA,05030,AMAGA,2005,12,1
05,ANTIOQUIA,05030,AMAGA,2006,1,2
05,ANTIOQUIA,05030,AMAGA,2006,2,1
05,ANTIOQUIA,05030,AMAGA,2006,5,1
05,ANTIOQUIA,05030,AMAGA,2006,7,1
05,ANTIOQUIA,05030,AMAGA,2006,9,2
05,ANTIOQUIA,05030,AMAGA,2006,10,1
05,ANTIOQUIA,05030,AMAGA,2007,2,3
05,ANTIOQUIA,05030,AMAGA,2007,3,2
05,ANTIOQUIA,05030,AMAGA,2007,4,2
05,ANTIOQUIA,05030,AMAGA,2007,5,3
05,ANTIOQUIA,05030,AMAGA,2007,9,2
05,ANTIOQUIA,05030,AMAGA,2007,10,1
05,ANTIOQUIA,05030,AMAGA,2007,11,3
05,ANTIOQUIA,05030,AMAGA,2007,12,2
