COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,PROMEDIO_EXTORSION,CANTIDAD_SUBVERSIVAS,PROMEDIO_SUBVERSIVAS,COD_DPTO,COD_DPTO-MPIO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
25,CUNDINAMARCA,25513,PACHO,2019,4.0,1.0,0.0,0.0,25,25513,25325,1.0,1.0,0.0
25,CUNDINAMARCA,25513,PACHO,2020,8.0,1.0,0.0,0.0,25,25513,26029,1.0,1.0,0.0
25,CUNDINAMARCA,25513,PACHO,2021,4.0,1.0,0.0,0.0,25,25513,26621,1.0,1.0,1.0
25,CUNDINAMARCA,25513,PACHO,2022,5.0,1.0,0.0,0.0,25,25513,27468,1.0,1.0,1.0
25,CUNDINAMARCA,25513,PACHO,2023,9.0,1.0,0.0,0.0,25,25513,28412,1.0,1.0,1.0
25,CUNDINAMARCA,25513,PACHO,2024,6.0,1.0,0.0,0.0,25,25513,29334,0.0,0.0,0.0
25,CUNDINAMARCA,25518,PAIME,2024,1.0,1.0,0.0,0.0,25,25518,4870,0.0,0.0,0.0
25,CUNDINAMARCA,25524,PANDI,2018,3.0,1.0,0.0,0.0,25,25524,4973,1.0,1.0,0.0
25,CUNDINAMARCA,25524,PANDI,2019,1.0,1.0,0.0,0.0,25,25524,5171,1.0,1.0,0.0
25,CUNDINAMARCA,25524,PANDI,2021,3.0,1.0,0.0,0.0,25,25524,5405,1.0,1.0,1.0
25,CUNDINAMARCA,25524,PANDI,2022,1.0,1.0,0.0,0.0,25,25524,5587,1.0,1.0,1.0
25,CUNDINAMARCA,25524,PANDI,2023,2.0,1.0,0.0,0.0,25,25524,5792,1.0,1.0,1.0
25,CUNDINAMARCA,25524,PANDI,2024,1.0,1.0,0.0,0.0,25,25524,5984,0.0,0.0,0.0
25,CUNDINAMARCA,25530,PARATEBUENO,2018,1.0,1.0,0.0,0.0,25,25530,8328,1.0,1.0,0.0
25,CUNDINAMARCA,25530,PARATEBUENO,2019,1.0,1.0,0.0,0.0,25,25530,8702,1.0,1.0,0.0
25,CUNDINAMARCA,25530,PARATEBUENO,2020,2.0,1.0,0.0,0.0,25,25530,8966,1.0,1.0,0.0
25,CUNDINAMARCA,25530,PARATEBUENO,2021,2.0,1.0,0.0,0.0,25,25530,9245,1.0,1.0,1.0
25,CUNDINAMARCA,25530,PARATEBUENO,2022,2.0,1.0,0.0,0.0,25,25530,9520,1.0,1.0,1.0
25,CUNDINAMARCA,25530,PARATEBUENO,2023,3.0,1.0,0.0,0.0,25,25530,9851,1.0,1.0,1.0
25,CUNDINAMARCA,25530,PARATEBUENO,2024,2.0,1.0,0.0,0.0,25,25530,10165,0.0,0.0,0.0
25,CUNDINAMARCA,25535,PASCA,2018,1.0,1.0,0.0,0.0,25,25535,9105,1.0,1.0,0.0
25,CUNDINAMARCA,25535,PASCA,2019,1.0,1.0,0.0,0.0,25,25535,9429,1.0,1.0,0.0
25,CUNDINAMARCA,25535,PASCA,2020,1.0,1.0,0.0,0.0,25,25535,9688,1.0,1.0,0.0
25,CUNDINAMARCA,25535,PASCA,2021,2.0,1.0,0.0,0.0,25,25535,9877,1.0,1.0,1.0
25,CUNDINAMARCA,25535,PASCA,2022,1.0,1.0,0.0,0.0,25,25535,10197,1.0,1.0,1.0
25,CUNDINAMARCA,25535,PASCA,2023,5.0,1.0,0.0,0.0,25,25535,10525,1.0,1.0,1.0
25,CUNDINAMARCA,25535,PASCA,2024,1.0,1.0,0.0,0.0,25,25535,10870,0.0,0.0,0.0
25,CUNDINAMARCA,25572,PUERTO SALGAR,2018,1.0,1.0,0.0,0.0,25,25572,15453,1.0,1.0,0.0
25,CUNDINAMARCA,25572,PUERTO SALGAR,2019,2.0,1.0,0.0,0.0,25,25572,16104,1.0,1.0,0.0
25,CUNDINAMARCA,25572,PUERTO SALGAR,2020,1.0,1.0,0.0,0.0,25,25572,16614,1.0,1.0,0.0
25,CUNDINAMARCA,25572,PUERTO SALGAR,2021,2.0,1.0,0.0,0.0,25,25572,17025,1.0,1.0,1.0
25,CUNDINAMARCA,25572,PUERTO SALGAR,2022,1.0,1.0,0.0,0.0,25,25572,17585,1.0,1.0,1.0
25,CUNDINAMARCA,25572,PUERTO SALGAR,2023,2.0,1.0,0.0,0.0,25,25572,18181,1.0,1.0,1.0
25,CUNDINAMARCA,25572,PUERTO SALGAR,2024,1.0,1.0,0.0,0.0,25,25572,18781,0.0,0.0,0.0
25,CUNDINAMARCA,25580,PULI,2018,1.0,1.0,0.0,0.0,25,25580,3327,1.0,1.0,0.0
25,CUNDINAMARCA,25580,PULI,2021,1.0,1.0,0.0,0.0,25,25580,3600,1.0,1.0,1.0
25,CUNDINAMARCA,25592,QUEBRADANEGRA,2020,1.0,1.0,0.0,0.0,25,25592,5000,1.0,1.0,0.0
25,CUNDINAMARCA,25594,QUETAME,2018,3.0,1.0,0.0,0.0,25,25594,5072,1.0,1.0,0.0
25,CUNDINAMARCA,25594,QUETAME,2021,1.0,1.0,0.0,0.0,25,25594,5472,1.0,1.0,1.0
25,CUNDINAMARCA,25596,QUIPILE,2022,4.0,1.0,0.0,0.0,25,25596,6917,1.0,1.0,1.0
25,CUNDINAMARCA,25596,QUIPILE,2023,2.0,1.0,0.0,0.0,25,25596,7143,1.0,1.0,1.0
25,CUNDINAMARCA,25596,QUIPILE,2024,1.0,1.0,0.0,0.0,25,25596,7364,0.0,0.0,0.0
25,CUNDINAMARCA,25599,APULO,2019,2.0,1.0,0.0,0.0,25,25599,8513,1.0,1.0,0.0
25,CUNDINAMARCA,25599,APULO,2020,1.0,1.0,0.0,0.0,25,25599,8761,1.0,1.0,0.0
25,CUNDINAMARCA,25599,APULO,2021,4.0,1.0,0.0,0.0,25,25599,8955,1.0,1.0,1.0
25,CUNDINAMARCA,25599,APULO,2023,1.0,1.0,0.0,0.0,25,25599,9561,1.0,1.0,1.0
25,CUNDINAMARCA,25612,RICAURTE,2019,2.0,1.0,0.0,0.0,25,25612,13472,1.0,1.0,0.0
25,CUNDINAMARCA,25612,RICAURTE,2020,2.0,1.0,0.0,0.0,25,25612,13973,1.0,1.0,0.0
25,CUNDINAMARCA,25612,RICAURTE,2022,1.0,1.0,0.0,0.0,25,25612,14826,1.0,1.0,1.0
25,CUNDINAMARCA,25612,RICAURTE,2023,3.0,1.0,0.0,0.0,25,25612,15324,1.0,1.0,1.0
25,CUNDINAMARCA,25612,RICAURTE,2024,1.0,1.0,0.0,0.0,25,25612,15820,0.0,0.0,0.0
25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,2018,1.0,1.0,0.0,0.0,25,25645,11870,1.0,1.0,0.0
