COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,CANTIDAD_SUBVERSIVAS,COD_DPTO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
47,MAGDALENA,47960,ZAPAYAN,2021.0,1.0,0.0,47.0,10631.0,1.0,1.0,1.0
47,MAGDALENA,47960,ZAPAYAN,2022.0,1.0,0.0,47.0,10791.0,1.0,1.0,1.0
47,MAGDALENA,47960,ZAPAYAN,2024.0,1.0,0.0,47.0,11034.0,0.0,0.0,0.0
47,MAGDALENA,47980,ZONA BANANERA,2006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47980,ZONA BANANERA,2007.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47980,ZONA BANANERA,2012.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47980,ZONA BANANERA,2013.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47980,ZONA BANANERA,2014.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47980,ZONA BANANERA,2015.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47980,ZONA BANANERA,2016.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47980,ZONA BANANERA,2017.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MAGDALENA,47980,ZONA BANANERA,2018.0,3.0,0.0,47.0,68722.0,1.0,1.0,0.0
47,MAGDALENA,47980,ZONA BANANERA,2019.0,6.0,0.0,47.0,71128.0,1.0,1.0,0.0
47,MAGDALENA,47980,ZONA BANANERA,2020.0,5.0,0.0,47.0,73473.0,1.0,1.0,0.0
47,MAGDALENA,47980,ZONA BANANERA,2021.0,5.0,1.0,47.0,75123.0,1.0,1.0,1.0
47,MAGDALENA,47980,ZONA BANANERA,2022.0,8.0,0.0,47.0,76208.0,1.0,1.0,1.0
47,MAGDALENA,47980,ZONA BANANERA,2023.0,11.0,0.0,47.0,76962.0,1.0,1.0,1.0
47,MAGDALENA,47980,ZONA BANANERA,2024.0,7.0,0.0,47.0,77793.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,1996.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,1998.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,1999.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2000.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2001.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2002.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2003.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2004.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2005.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2006.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2007.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2008.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2009.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2010.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2011.0,53.0,8.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2012.0,97.0,5.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2013.0,193.0,6.0,0.0,0.0,0.0,0.0,0.0
50,META,50001,VILLAVICENCIO,2014.0,236.0,6.0,0.0,0.0,0.0,0.0,0.0
