ano,actividad,sector,tipo_de_precios,cod_dpto,dpto_nombre,valor_agregado
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,23,Córdoba,444.35
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,25,Cundinamarca,1995.47
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,94,Guainía,0.65
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,95,Guaviare,4.54
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,41,Huila,463.45
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,44,La Guajira,239.89
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,47,Magdalena,143.9
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,50,Meta,160.26
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,52,Nariño,164.07
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,54,Norte de Santander,204.64
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,86,Putumayo,7.9
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,63,Quindío,108.84
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,66,Risaralda,224.21
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",20.15
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,68,Santander,673.57
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,70,Sucre,94.4
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,73,Tolima,298.79
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,76,Valle del Cauca,1970.19
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,97,Vaupés,0.65
2005,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Terciario,PIB a precios constantes de 2015,99,Vichada,2.16
2005,Construcción,Secundario,PIB a precios constantes de 2015,91,Amazonas,10.26
2005,Construcción,Secundario,PIB a precios constantes de 2015,05,Antioquia,3764.41
2005,Construcción,Secundario,PIB a precios constantes de 2015,81,Arauca,128.0
2005,Construcción,Secundario,PIB a precios constantes de 2015,08,Atlántico,619.13
2005,Construcción,Secundario,PIB a precios constantes de 2015,11,Bogotá D.C.,7967.98
2005,Construcción,Secundario,PIB a precios constantes de 2015,13,Bolívar,702.86
2005,Construcción,Secundario,PIB a precios constantes de 2015,15,Boyacá,640.0
2005,Construcción,Secundario,PIB a precios constantes de 2015,17,Caldas,352.44
2005,Construcción,Secundario,PIB a precios constantes de 2015,18,Caquetá,88.52
2005,Construcción,Secundario,PIB a precios constantes de 2015,85,Casanare,331.66
2005,Construcción,Secundario,PIB a precios constantes de 2015,19,Cauca,276.92
2005,Construcción,Secundario,PIB a precios constantes de 2015,20,Cesar,422.67
2005,Construcción,Secundario,PIB a precios constantes de 2015,27,Chocó,105.95
2005,Construcción,Secundario,PIB a precios constantes de 2015,23,Córdoba,713.33
2005,Construcción,Secundario,PIB a precios constantes de 2015,25,Cundinamarca,852.16
2005,Construcción,Secundario,PIB a precios constantes de 2015,94,Guainía,34.95
2005,Construcción,Secundario,PIB a precios constantes de 2015,95,Guaviare,43.11
2005,Construcción,Secundario,PIB a precios constantes de 2015,41,Huila,861.43
2005,Construcción,Secundario,PIB a precios constantes de 2015,44,La Guajira,249.07
2005,Construcción,Secundario,PIB a precios constantes de 2015,47,Magdalena,647.91
2005,Construcción,Secundario,PIB a precios constantes de 2015,50,Meta,680.52
2005,Construcción,Secundario,PIB a precios constantes de 2015,52,Nariño,611.85
2005,Construcción,Secundario,PIB a precios constantes de 2015,54,Norte de Santander,391.6
2005,Construcción,Secundario,PIB a precios constantes de 2015,86,Putumayo,90.51
2005,Construcción,Secundario,PIB a precios constantes de 2015,63,Quindío,262.67
2005,Construcción,Secundario,PIB a precios constantes de 2015,66,Risaralda,1054.53
2005,Construcción,Secundario,PIB a precios constantes de 2015,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",13.12
2005,Construcción,Secundario,PIB a precios constantes de 2015,68,Santander,2011.71
2005,Construcción,Secundario,PIB a precios constantes de 2015,70,Sucre,230.76
2005,Construcción,Secundario,PIB a precios constantes de 2015,73,Tolima,558.99
2005,Construcción,Secundario,PIB a precios constantes de 2015,76,Valle del Cauca,2200.06
2005,Construcción,Secundario,PIB a precios constantes de 2015,97,Vaupés,13.02
2005,Construcción,Secundario,PIB a precios constantes de 2015,99,Vichada,20.18
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,91,Amazonas,104.81
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,05,Antioquia,11398.07
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,81,Arauca,333.89
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,08,Atlántico,4857.02
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,11,Bogotá D.C.,23915.21
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,13,Bolívar,3212.38
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,15,Boyacá,2718.79
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,17,Caldas,1520.32
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,18,Caquetá,425.21
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,85,Casanare,1337.1
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,19,Cauca,1177.53
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,20,Cesar,1173.06
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,27,Chocó,307.96
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,23,Córdoba,1441.57
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,25,Cundinamarca,4635.46
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,94,Guainía,35.6
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,95,Guaviare,69.3
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,41,Huila,1246.72
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,44,La Guajira,692.92
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,47,Magdalena,1467.24
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,50,Meta,2004.49
2005,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida,Terciario,PIB a precios constantes de 2015,52,Nariño,1600.61
