cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_victimas,total_civiles,total_combatientes,lesionados_civiles,abandono_despojo,amenaza_intimidacion,ataque_mision_medica,confinamiento,desplazamiento_forzado,extorsion_asociada,pillaje,tortura
19,CAUCA,19397,LA VEGA,2015,11,0,0,0,0,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54001,CUCUTA,1965,2,0,0,0,0,0,0,0,0,0,0,0,0
19,CAUCA,19001,POPAYAN,1965,2,0,0,0,1,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1965,2,0,0,0,0,0,0,0,0,0,0,0,0
81,ARAUCA,81736,SARAVENA,2003,8,5,5,0,5,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1965,3,0,0,0,2,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1965,6,0,0,0,0,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1965,7,1,1,0,0,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54313,GRAMALOTE,2001,8,2,2,0,4,0,0,0,0,0,0,1,0
05,ANTIOQUIA,05120,CACERES,2009,4,0,0,0,5,0,0,0,0,0,0,0,0
41,HUILA,41020,ALGECIRAS,2012,6,0,0,0,0,0,0,0,0,0,1,0,0
05,ANTIOQUIA,05541,PEÑOL,2003,4,4,4,0,0,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,2003,5,3,3,0,0,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05790,TARAZA,2003,12,4,4,0,36,0,0,0,0,0,0,0,0
52,NARIÑO,52250,EL CHARCO,2012,6,0,0,0,25,0,0,0,0,0,0,0,0
19,CAUCA,19355,INZA,2013,12,8,2,6,70,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54810,TIBU,1999,5,1,1,0,0,1,1,0,0,1,0,0,0
05,ANTIOQUIA,05079,BARBOSA,1992,11,1,1,0,7,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1982,3,1,1,0,2,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1997,1,5,5,0,56,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05045,APARTADO,1997,2,10,10,0,53,0,0,0,0,0,0,0,0
18,CAQUETA,18592,PUERTO RICO,1997,10,1,1,0,4,0,0,0,0,0,0,0,0
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,2003,5,1,1,0,2,0,0,0,0,0,0,0,0
18,CAQUETA,18001,FLORENCIA,2003,9,14,12,2,48,0,0,0,0,0,0,0,0
18,CAQUETA,18001,FLORENCIA,2003,11,3,3,0,12,0,0,0,0,0,0,0,0
19,CAUCA,19137,CALDONO,2011,9,0,0,0,0,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54250,EL TARRA,2012,1,0,0,0,0,0,0,0,0,0,0,0,0
19,CAUCA,19050,ARGELIA,2012,5,0,0,0,1,0,0,0,0,0,0,0,0
52,NARIÑO,52683,SANDONA,2012,5,0,0,0,4,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,2012,6,0,0,0,8,0,0,0,0,0,0,0,0
81,ARAUCA,81794,TAME,2012,10,2,2,0,0,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05647,SAN ANDRES DE CUERQUIA,2014,1,0,0,0,1,0,0,0,0,0,0,0,0
20,CESAR,20750,SAN DIEGO,2014,8,0,0,0,0,0,0,0,0,0,0,0,0
44,LA GUAJIRA,44420,LA JAGUA DEL PILAR,2002,12,0,0,0,0,0,0,0,0,0,0,0,0
52,NARIÑO,52250,EL CHARCO,2011,6,0,0,0,15,0,0,0,0,0,0,0,0
19,CAUCA,19532,PATIA,2012,10,0,0,0,0,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2017,6,3,3,0,9,0,0,0,0,0,0,0,0
50,META,50313,GRANADA,2001,12,0,0,0,0,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05579,PUERTO BERRIO,2009,8,0,7,0,7,0,0,0,0,0,0,0,0
52,NARIÑO,52838,TUQUERRES,2011,10,1,1,0,1,0,0,0,0,0,0,0,0
19,CAUCA,19075,BALBOA,2012,4,0,0,0,0,0,0,0,0,0,0,0,0
44,LA GUAJIRA,44430,MAICAO,2012,6,0,0,0,7,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1988,3,0,0,0,1,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1976,8,0,0,0,0,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1975,11,0,0,0,0,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1976,7,0,0,0,0,0,0,0,0,0,0,0,0
52,NARIÑO,52835,SAN ANDRES DE TUMACO,2011,10,0,0,0,8,0,0,0,0,0,0,0,0
73,TOLIMA,73622,RONCESVALLES,2000,11,3,3,0,2,0,0,0,0,0,0,0,0
27,CHOCO,27615,RIOSUCIO,1997,2,1,1,0,0,1,0,0,0,1,0,0,0
52,NARIÑO,52678,SAMANIEGO,2012,9,0,0,0,0,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05120,CACERES,2009,4,0,0,0,5,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05120,CACERES,2009,7,0,0,0,3,0,0,0,0,0,0,0,0
68,SANTANDER,68081,BARRANCABERMEJA,2006,4,0,0,0,5,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1975,11,0,0,0,0,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,1976,7,0,0,0,0,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2019,1,20,0,20,0,0,0,0,0,0,0,0,0
81,ARAUCA,81065,ARAUQUITA,2018,7,4,4,0,0,0,0,0,0,0,0,0,0
81,ARAUCA,81001,ARAUCA,2005,8,1,1,0,0,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1995,6,1,20,0,99,0,1,0,0,0,0,0,0
05,ANTIOQUIA,05837,TURBO,1987,2,0,0,0,2,0,0,0,0,0,0,0,0
19,CAUCA,19212,CORINTO,2021,3,0,0,0,43,0,0,0,0,0,0,0,0
19,CAUCA,19050,ARGELIA,2015,7,0,0,0,2,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1983,11,0,0,0,0,0,0,0,0,0,0,0,0
81,ARAUCA,81300,FORTUL,2003,4,1,1,0,6,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,2007,6,2,2,0,7,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54001,CUCUTA,2021,6,0,0,0,2,0,0,0,0,0,0,0,0
81,ARAUCA,81736,SARAVENA,2022,1,1,1,0,20,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76563,PRADERA,2014,1,1,1,0,56,0,0,0,0,0,0,0,0
19,CAUCA,19256,EL TAMBO,2022,2,5,0,0,5,0,0,0,0,0,0,0,0
19,CAUCA,19050,ARGELIA,2022,4,0,0,0,0,0,0,0,0,0,0,0,0
